SKU_ID,Category,Sub_Category,Segment,Attribute_Claim,Pack_Size_ml,Price_Band,List_Price_USD,Unit_Cost_USD,Hair_Type,Gender,Age_Group,Ingredient_1,Ingredient_2,Ingredient_3,Ingredient_4,Sulphate_Free_Flag,Paraben_Free_Flag,Organic_Flag,Dandruff_Flag,Hair_Fall_Flag,Color_Protection_Flag
SKU0001,Hair Care,Shampoo,Economy,Color Protection,250,Economy,11.99,8.15,Curly,Women,Senior,Rosemary,Aloe Vera,Biotin,Caffeine,Yes,Yes,Yes,No,No,Yes
SKU0002,Hair Care,Hair Color,Premium,Sulphate Free,100,Premium,37.29,23.12,Coily,Men,Senior,Collagen,Rosemary,Biotin,Aloe Vera,Yes,Yes,Yes,No,No,No
SKU0003,Hair Care,Hair Color,Mainstream,Anti Hair Fall,250,Mainstream,15.46,11.13,Straight,Unisex,Adult,Keratin,Argan Oil,Tea Tree,Aloe Vera,No,Yes,Yes,No,Yes,No
SKU0004,Hair Care,Anti-Dandruff Treatment,Economy,Anti Hair Fall,200,Economy,14.67,11,Wavy,Men,Senior,Rosemary,Aloe Vera,Argan Oil,Tea Tree,Yes,Yes,Yes,No,Yes,No
SKU0005,Hair Care,Anti-Dandruff Treatment,Economy,Herbal,150,Economy,8.41,6.81,Curly,Women,Adult,Tea Tree,Aloe Vera,Collagen,Keratin,Yes,Yes,Yes,No,No,No
SKU0006,Hair Care,Hair Color,Premium,Color Protection,100,Premium,39.14,30.14,Wavy,Men,Senior,Keratin,Biotin,Collagen,Argan Oil,Yes,Yes,No,No,No,Yes
SKU0007,Hair Care,Hair Color,Mainstream,Color Protection,400,Mainstream,16.36,10.14,Straight,Unisex,Adult,Argan Oil,Biotin,Tea Tree,Aloe Vera,No,Yes,No,No,No,Yes
SKU0008,Hair Care,Anti-Dandruff Treatment,Economy,Color Protection,150,Economy,14.08,8.59,Straight,Unisex,Senior,Tea Tree,Keratin,Collagen,Caffeine,Yes,Yes,Yes,No,No,Yes
SKU0009,Hair Care,Hair Mask,Mainstream,Herbal,200,Mainstream,22.39,14.78,Straight,Men,Senior,Tea Tree,Argan Oil,Caffeine,Aloe Vera,Yes,No,Yes,No,No,No
SKU0010,Hair Care,Hair Color,Premium,Argan Oil,200,Premium,31.41,22.93,Straight,Unisex,Senior,Argan Oil,Biotin,Aloe Vera,Rosemary,Yes,Yes,No,No,No,No
SKU0011,Hair Care,Hair Oil,Mainstream,Argan Oil,250,Mainstream,16.06,10.92,Fine,Unisex,Adult,Tea Tree,Biotin,Caffeine,Keratin,No,No,Yes,No,No,No
SKU0012,Hair Care,Hair Serum,Mainstream,Color Protection,150,Mainstream,17.19,10.31,Thick,Unisex,Senior,Argan Oil,Aloe Vera,Caffeine,Collagen,No,No,No,No,No,Yes
SKU0013,Hair Care,Hair Serum,Mainstream,Argan Oil,650,Mainstream,27.4,21.92,Fine,Unisex,Teen,Argan Oil,Caffeine,Collagen,Rosemary,No,No,No,No,No,No
SKU0014,Hair Care,Hair Color,Mainstream,Color Protection,500,Mainstream,15.97,12.14,Straight,Men,Senior,Keratin,Aloe Vera,Biotin,Tea Tree,Yes,Yes,No,No,No,Yes
SKU0015,Hair Care,Hair Color,Premium,Keratin,150,Premium,43.21,29.81,Straight,Women,Senior,Biotin,Caffeine,Rosemary,Tea Tree,No,Yes,No,No,No,No
SKU0016,Hair Care,Hair Color,Mainstream,Anti Dandruff,500,Mainstream,23.49,13.39,Coily,Men,Adult,Collagen,Aloe Vera,Keratin,Argan Oil,Yes,No,No,Yes,No,No
SKU0017,Hair Care,Hair Color,Mainstream,Anti Hair Fall,150,Mainstream,18.08,12.29,Fine,Women,Senior,Keratin,Rosemary,Collagen,Argan Oil,Yes,Yes,No,No,Yes,No
SKU0018,Hair Care,Hair Serum,Mainstream,Damage Repair,650,Mainstream,15.17,11.38,Coily,Unisex,Senior,Keratin,Biotin,Argan Oil,Tea Tree,No,No,Yes,No,No,No
SKU0019,Hair Care,Anti-Dandruff Treatment,Mainstream,Argan Oil,300,Mainstream,26.19,20.69,Curly,Men,Teen,Rosemary,Argan Oil,Keratin,Tea Tree,No,No,Yes,No,No,No
SKU0020,Hair Care,Anti-Dandruff Treatment,Economy,Damage Repair,100,Economy,14.23,10.96,Thick,Men,Senior,Keratin,Rosemary,Tea Tree,Collagen,No,No,Yes,No,No,No
SKU0021,Hair Care,Hair Oil,Mainstream,Color Protection,250,Mainstream,20.03,12.22,Fine,Unisex,Teen,Biotin,Caffeine,Tea Tree,Argan Oil,No,No,Yes,No,No,Yes
SKU0022,Hair Care,Anti-Dandruff Treatment,Mainstream,Anti Dandruff,200,Mainstream,24.85,17.64,Thick,Women,Senior,Rosemary,Tea Tree,Keratin,Argan Oil,No,Yes,No,Yes,No,No
SKU0023,Hair Care,Anti-Dandruff Treatment,Mainstream,Biotin,500,Mainstream,15.9,12.56,Wavy,Women,Senior,Collagen,Rosemary,Argan Oil,Keratin,Yes,No,No,No,No,No
SKU0024,Hair Care,Hair Mask,Premium,Argan Oil,400,Premium,31.55,21.45,Straight,Women,Teen,Biotin,Keratin,Rosemary,Tea Tree,No,No,No,No,No,No
SKU0025,Hair Care,Conditioner,Mainstream,Anti Dandruff,400,Mainstream,16.7,9.69,Straight,Men,Adult,Rosemary,Caffeine,Collagen,Tea Tree,Yes,No,No,Yes,No,No
SKU0026,Hair Care,Shampoo,Mainstream,Anti Dandruff,100,Mainstream,19.51,13.66,Thick,Men,Adult,Rosemary,Caffeine,Argan Oil,Keratin,No,No,No,Yes,No,No
SKU0027,Hair Care,Hair Color,Premium,Smoothening,300,Premium,28.89,17.05,Fine,Unisex,Senior,Aloe Vera,Collagen,Rosemary,Caffeine,Yes,Yes,Yes,No,No,No
SKU0028,Hair Care,Conditioner,Economy,Keratin,500,Economy,11.78,8.25,Fine,Men,Adult,Tea Tree,Argan Oil,Aloe Vera,Caffeine,No,Yes,No,No,No,No
SKU0029,Hair Care,Hair Serum,Mainstream,Sulphate Free,650,Mainstream,19.7,13.79,Straight,Women,Senior,Keratin,Tea Tree,Collagen,Rosemary,Yes,Yes,No,No,No,No
SKU0030,Hair Care,Anti-Dandruff Treatment,Economy,Anti Dandruff,250,Economy,8.31,6.15,Curly,Men,Senior,Biotin,Argan Oil,Collagen,Tea Tree,No,No,Yes,Yes,No,No
SKU0031,Hair Care,Conditioner,Economy,Color Protection,650,Economy,13.71,10.28,Straight,Men,Teen,Collagen,Tea Tree,Argan Oil,Caffeine,No,No,Yes,No,No,Yes
SKU0032,Hair Care,Shampoo,Mainstream,Argan Oil,100,Mainstream,19.05,12.57,Fine,Men,Senior,Keratin,Aloe Vera,Argan Oil,Tea Tree,Yes,No,Yes,No,No,No
SKU0033,Hair Care,Hair Serum,Premium,Smoothening,500,Premium,30.95,25.38,Wavy,Men,Adult,Rosemary,Biotin,Tea Tree,Caffeine,Yes,Yes,Yes,No,No,No
SKU0034,Hair Care,Hair Oil,Economy,Keratin,300,Economy,9.63,7.32,Straight,Women,Senior,Caffeine,Collagen,Rosemary,Biotin,No,Yes,Yes,No,No,No
SKU0035,Hair Care,Hair Oil,Economy,Smoothening,100,Economy,10.55,8.02,Fine,Men,Adult,Rosemary,Argan Oil,Keratin,Tea Tree,No,Yes,Yes,No,No,No
SKU0036,Hair Care,Shampoo,Mainstream,Biotin,650,Mainstream,15.97,12.94,Curly,Women,Senior,Keratin,Argan Oil,Tea Tree,Biotin,No,No,No,No,No,No
SKU0037,Hair Care,Shampoo,Economy,Damage Repair,150,Economy,7.02,4.21,Fine,Unisex,Teen,Argan Oil,Tea Tree,Biotin,Keratin,No,No,No,No,No,No
SKU0038,Hair Care,Hair Color,Premium,Smoothening,100,Premium,35.54,26.66,Fine,Men,Teen,Rosemary,Keratin,Collagen,Caffeine,No,Yes,No,No,No,No
SKU0039,Hair Care,Hair Oil,Mainstream,Color Protection,250,Mainstream,27.52,22.57,Coily,Women,Teen,Biotin,Argan Oil,Caffeine,Aloe Vera,Yes,No,Yes,No,No,Yes
SKU0040,Hair Care,Hair Mask,Premium,Argan Oil,300,Premium,39.12,31.3,Wavy,Unisex,Senior,Rosemary,Collagen,Tea Tree,Argan Oil,Yes,Yes,Yes,No,No,No
SKU0041,Hair Care,Hair Color,Premium,Biotin,150,Premium,29.64,20.45,Coily,Men,Teen,Caffeine,Rosemary,Collagen,Tea Tree,No,Yes,No,No,No,No
SKU0042,Hair Care,Conditioner,Economy,Herbal,150,Economy,7.69,5.23,Thick,Men,Adult,Rosemary,Aloe Vera,Collagen,Biotin,Yes,No,Yes,No,No,No
SKU0043,Hair Care,Anti-Dandruff Treatment,Economy,Rosemary,300,Economy,10.22,7.15,Coily,Unisex,Teen,Biotin,Caffeine,Collagen,Tea Tree,Yes,Yes,Yes,No,No,No
SKU0044,Hair Care,Hair Mask,Premium,Anti Dandruff,200,Premium,28.73,18.1,Wavy,Men,Senior,Collagen,Caffeine,Keratin,Tea Tree,Yes,No,No,Yes,No,No
SKU0045,Hair Care,Hair Oil,Mainstream,Color Protection,250,Mainstream,19.19,14.97,Coily,Men,Senior,Collagen,Aloe Vera,Keratin,Tea Tree,No,Yes,No,No,No,Yes
SKU0046,Hair Care,Hair Oil,Mainstream,Anti Hair Fall,150,Mainstream,21.3,14.48,Curly,Women,Adult,Biotin,Keratin,Argan Oil,Tea Tree,Yes,No,Yes,No,Yes,No
SKU0047,Hair Care,Anti-Dandruff Treatment,Economy,Damage Repair,300,Economy,12.06,8.44,Thick,Women,Adult,Collagen,Aloe Vera,Keratin,Biotin,Yes,Yes,No,No,No,No
SKU0048,Hair Care,Shampoo,Mainstream,Anti Dandruff,200,Mainstream,15.58,9.97,Wavy,Women,Senior,Aloe Vera,Tea Tree,Keratin,Collagen,Yes,No,Yes,Yes,No,No
SKU0049,Hair Care,Conditioner,Mainstream,Sulphate Free,200,Mainstream,21.97,16.04,Thick,Unisex,Senior,Tea Tree,Rosemary,Argan Oil,Biotin,Yes,Yes,No,No,No,No
SKU0050,Hair Care,Conditioner,Economy,Argan Oil,250,Economy,12.03,7.46,Fine,Unisex,Teen,Keratin,Argan Oil,Collagen,Rosemary,Yes,Yes,No,No,No,No
SKU0051,Hair Care,Conditioner,Economy,Damage Repair,200,Economy,14.76,10.48,Fine,Men,Senior,Caffeine,Tea Tree,Collagen,Keratin,No,Yes,No,No,No,No
SKU0052,Hair Care,Anti-Dandruff Treatment,Mainstream,Argan Oil,250,Mainstream,25.85,18.61,Thick,Women,Adult,Aloe Vera,Caffeine,Argan Oil,Keratin,Yes,No,No,No,No,No
SKU0053,Hair Care,Anti-Dandruff Treatment,Mainstream,Keratin,250,Mainstream,15.13,12.41,Fine,Unisex,Senior,Collagen,Caffeine,Tea Tree,Rosemary,No,Yes,No,No,No,No
SKU0054,Hair Care,Conditioner,Economy,Anti Hair Fall,250,Economy,10.87,6.3,Coily,Unisex,Senior,Rosemary,Aloe Vera,Caffeine,Collagen,Yes,Yes,No,No,Yes,No
SKU0055,Hair Care,Hair Oil,Mainstream,Argan Oil,500,Mainstream,15.76,12.61,Curly,Unisex,Senior,Argan Oil,Rosemary,Keratin,Aloe Vera,Yes,Yes,Yes,No,No,No
SKU0056,Hair Care,Conditioner,Economy,Biotin,300,Economy,9.8,5.49,Wavy,Women,Adult,Argan Oil,Caffeine,Collagen,Rosemary,Yes,No,Yes,No,No,No
SKU0057,Hair Care,Hair Serum,Mainstream,Biotin,150,Mainstream,24.61,20.18,Coily,Women,Teen,Caffeine,Argan Oil,Biotin,Keratin,No,Yes,Yes,No,No,No
SKU0058,Hair Care,Hair Mask,Mainstream,Sulphate Free,100,Mainstream,19.47,13.24,Fine,Unisex,Teen,Aloe Vera,Caffeine,Tea Tree,Argan Oil,Yes,No,No,No,No,No
SKU0059,Hair Care,Shampoo,Economy,Argan Oil,400,Economy,9.5,5.61,Straight,Women,Teen,Biotin,Aloe Vera,Argan Oil,Collagen,No,No,Yes,No,No,No
SKU0060,Hair Care,Hair Oil,Mainstream,Argan Oil,500,Mainstream,16.88,11.14,Coily,Women,Teen,Rosemary,Tea Tree,Aloe Vera,Collagen,Yes,No,No,No,No,No
